step 0: train loss 10.9886, val loss 10.9898
iter 1010: loss 4.4679, time 3031.63ms, mfu 16.26%
iter 1020: loss 4.7162, time 3054.43ms, mfu 16.40%
iter 1030: loss 4.7263, time 3054.36ms, mfu 16.52%
iter 1040: loss 4.7058, time 3010.56ms, mfu 16.66%
iter 1050: loss 4.7639, time 3095.26ms, mfu 16.73%
iter 1060: loss 4.5961, time 3040.98ms, mfu 16.83%
iter 1070: loss 4.4905, time 3061.35ms, mfu 16.91%
iter 1080: loss 4.5518, time 3059.36ms, mfu 16.98%
iter 1090: loss 4.7914, time 3039.97ms, mfu 17.05%
iter 1100: loss 4.9227, time 3049.73ms, mfu 17.11%
iter 1110: loss 4.8971, time 3055.50ms, mfu 17.17%
iter 1120: loss 4.3814, time 3040.02ms, mfu 17.22%
iter 1130: loss 4.3723, time 3053.93ms, mfu 17.26%
iter 1140: loss 4.5690, time 3053.89ms, mfu 17.30%
iter 1150: loss 4.5449, time 3046.49ms, mfu 17.34%
iter 1160: loss 4.5265, time 3043.30ms, mfu 17.37%
iter 1170: loss 4.3828, time 3057.55ms, mfu 17.40%
iter 1180: loss 4.6052, time 3051.78ms, mfu 17.42%
iter 1190: loss 4.4122, time 3044.78ms, mfu 17.45%
iter 1200: loss 4.4023, time 3055.64ms, mfu 17.47%
iter 1210: loss 4.4332, time 3066.15ms, mfu 17.48%
iter 1220: loss 4.4960, time 3009.23ms, mfu 17.52%
iter 1230: loss 4.3109, time 3061.59ms, mfu 17.53%
iter 1240: loss 4.4862, time 3044.72ms, mfu 17.54%
iter 1250: loss 4.5684, time 3040.21ms, mfu 17.56%
iter 1260: loss 4.5292, time 3055.73ms, mfu 17.57%
iter 1270: loss 4.2432, time 3052.27ms, mfu 17.58%
iter 1280: loss 4.3658, time 3066.09ms, mfu 17.57%
iter 1290: loss 4.2433, time 3037.85ms, mfu 17.59%
iter 1300: loss 4.2297, time 3062.11ms, mfu 17.59%
iter 1310: loss 4.2126, time 3041.20ms, mfu 17.60%
iter 1320: loss 4.2093, time 2981.94ms, mfu 17.65%
iter 1330: loss 4.4036, time 3081.68ms, mfu 17.63%
iter 1340: loss 4.3519, time 3070.64ms, mfu 17.62%
iter 1350: loss 4.1763, time 3042.83ms, mfu 17.63%
iter 1360: loss 4.3465, time 3057.95ms, mfu 17.63%
iter 1370: loss 4.3125, time 3045.85ms, mfu 17.63%
iter 1380: loss 4.3053, time 3069.91ms, mfu 17.63%
iter 1390: loss 4.2847, time 3049.44ms, mfu 17.63%
iter 1400: loss 4.3826, time 3063.25ms, mfu 17.62%
iter 1410: loss 4.3122, time 3046.65ms, mfu 17.63%
iter 1420: loss 4.2059, time 2978.00ms, mfu 17.68%
iter 1430: loss 4.3218, time 3012.39ms, mfu 17.70%
iter 1440: loss 4.1922, time 3057.00ms, mfu 17.69%
iter 1450: loss 4.3838, time 3053.00ms, mfu 17.68%
iter 1460: loss 4.2132, time 3039.30ms, mfu 17.69%
iter 1470: loss 4.3408, time 3061.17ms, mfu 17.68%
iter 1480: loss 4.0317, time 3044.45ms, mfu 17.68%
iter 1490: loss 4.1670, time 3254.57ms, mfu 17.57%
iter 1500: loss 4.2116, time 3042.69ms, mfu 17.58%
iter 1510: loss 4.2833, time 3132.66ms, mfu 17.54%
iter 1520: loss 4.0517, time 3044.41ms, mfu 17.56%
iter 1530: loss 4.0600, time 3057.02ms, mfu 17.56%
iter 1540: loss 4.3584, time 3045.13ms, mfu 17.58%
iter 1550: loss 4.2522, time 3058.57ms, mfu 17.58%
iter 1560: loss 3.9674, time 3046.16ms, mfu 17.59%
iter 1570: loss 4.0472, time 3042.80ms, mfu 17.60%
iter 1580: loss 4.1612, time 3044.39ms, mfu 17.61%
iter 1590: loss 4.1823, time 3044.59ms, mfu 17.62%
iter 1600: loss 4.1685, time 3040.19ms, mfu 17.63%
iter 1610: loss 4.1453, time 3065.56ms, mfu 17.62%
iter 1620: loss 4.2471, time 3027.11ms, mfu 17.64%
iter 1630: loss 4.0096, time 3045.46ms, mfu 17.64%
iter 1640: loss 4.1368, time 3055.84ms, mfu 17.64%
iter 1650: loss 4.2257, time 3036.81ms, mfu 17.65%
iter 1660: loss 3.8989, time 3059.41ms, mfu 17.65%
iter 1670: loss 4.3349, time 3046.11ms, mfu 17.65%
iter 1680: loss 4.1411, time 3042.68ms, mfu 17.66%
iter 1690: loss 4.1847, time 3012.75ms, mfu 17.68%
iter 1700: loss 3.9958, time 2981.43ms, mfu 17.72%
iter 1710: loss 4.0687, time 3058.33ms, mfu 17.71%
iter 1720: loss 3.9073, time 3051.28ms, mfu 17.70%
iter 1730: loss 4.0782, time 3027.21ms, mfu 17.71%
iter 1740: loss 3.9517, time 3041.92ms, mfu 17.71%
iter 1750: loss 4.0935, time 3042.02ms, mfu 17.71%
iter 1760: loss 3.8850, time 3054.66ms, mfu 17.70%
iter 1770: loss 3.8780, time 3042.39ms, mfu 17.70%
iter 1780: loss 4.1159, time 3058.22ms, mfu 17.69%
iter 1790: loss 3.7650, time 3022.06ms, mfu 17.71%
iter 1800: loss 4.1389, time 3047.87ms, mfu 17.70%
iter 1810: loss 4.1864, time 3059.28ms, mfu 17.69%
iter 1820: loss 3.9546, time 3047.56ms, mfu 17.69%
iter 1830: loss 4.1368, time 3052.06ms, mfu 17.69%
iter 1840: loss 4.0962, time 3040.50ms, mfu 17.69%
iter 1850: loss 4.0475, time 3043.06ms, mfu 17.69%
iter 1860: loss 4.0135, time 3061.04ms, mfu 17.68%
iter 1870: loss 3.8914, time 3042.65ms, mfu 17.68%
iter 1880: loss 4.1048, time 3061.61ms, mfu 17.67%
iter 1890: loss 4.3223, time 3091.13ms, mfu 17.65%
iter 1900: loss 3.9842, time 2992.50ms, mfu 17.68%
iter 1910: loss 4.0545, time 3045.35ms, mfu 17.68%
iter 1920: loss 4.1055, time 3040.14ms, mfu 17.69%
iter 1930: loss 3.9123, time 3044.23ms, mfu 17.69%
iter 1940: loss 3.9978, time 3046.25ms, mfu 17.69%
iter 1950: loss 3.8830, time 3051.38ms, mfu 17.68%
iter 1960: loss 3.9553, time 3047.89ms, mfu 17.68%
iter 1970: loss 4.0963, time 3059.44ms, mfu 17.68%
iter 1980: loss 3.8949, time 3057.37ms, mfu 17.67%
iter 1990: loss 4.1665, time 3073.55ms, mfu 17.66%
step 2000: train loss 3.9859, val loss 3.9727
saving checkpoint to out
iter 2000: loss 3.9708, time 24529.11ms, mfu 16.11%
iter 2010: loss 3.7636, time 3054.98ms, mfu 16.26%
iter 2020: loss 4.0209, time 3023.08ms, mfu 16.42%
iter 2030: loss 3.9179, time 3045.72ms, mfu 16.54%
iter 2040: loss 3.8341, time 3048.27ms, mfu 16.66%
iter 2050: loss 3.9179, time 3060.74ms, mfu 16.75%
iter 2060: loss 3.9198, time 3042.96ms, mfu 16.85%
iter 2070: loss 4.0674, time 3056.14ms, mfu 16.92%
iter 2080: loss 3.9362, time 3185.45ms, mfu 16.92%
iter 2090: loss 4.0050, time 2991.98ms, mfu 17.03%
iter 2100: loss 4.1401, time 3043.44ms, mfu 17.10%
iter 2110: loss 3.7770, time 3056.47ms, mfu 17.15%
iter 2120: loss 3.9146, time 3042.66ms, mfu 17.20%
iter 2130: loss 4.2021, time 3046.64ms, mfu 17.25%
iter 2140: loss 3.8976, time 3058.97ms, mfu 17.29%
iter 2150: loss 3.8692, time 3047.53ms, mfu 17.33%
iter 2160: loss 3.9169, time 3047.04ms, mfu 17.36%
iter 2170: loss 3.7717, time 3134.31ms, mfu 17.34%
iter 2180: loss 3.7628, time 3069.31ms, mfu 17.36%
iter 2190: loss 3.8785, time 3042.17ms, mfu 17.40%
iter 2200: loss 3.9622, time 3062.39ms, mfu 17.42%
iter 2210: loss 3.9162, time 3052.92ms, mfu 17.44%
iter 2220: loss 3.8151, time 3060.31ms, mfu 17.46%
iter 2230: loss 3.8311, time 3031.53ms, mfu 17.49%
iter 2240: loss 3.8869, time 3048.18ms, mfu 17.51%
iter 2250: loss 3.7233, time 3059.98ms, mfu 17.52%
iter 2260: loss 3.7087, time 3027.41ms, mfu 17.54%
iter 2270: loss 3.9133, time 3052.78ms, mfu 17.55%
iter 2280: loss 3.8979, time 3010.04ms, mfu 17.59%
iter 2290: loss 3.8088, time 3057.10ms, mfu 17.59%
iter 2300: loss 3.7546, time 3025.02ms, mfu 17.61%
iter 2310: loss 3.7482, time 3043.39ms, mfu 17.62%
iter 2320: loss 3.8602, time 3162.41ms, mfu 17.56%
iter 2330: loss 3.8685, time 3062.05ms, mfu 17.56%
iter 2340: loss 3.6249, time 3056.84ms, mfu 17.57%
iter 2350: loss 3.7533, time 3025.90ms, mfu 17.59%
