step 0: train loss 10.9886, val loss 10.9898
iter 1010: loss 4.4526, time 3397.06ms, mfu 15.30%
iter 1020: loss 4.7171, time 3237.36ms, mfu 15.43%
iter 1030: loss 4.7183, time 3243.01ms, mfu 15.55%
iter 1040: loss 4.6955, time 3321.31ms, mfu 15.62%
iter 1050: loss 4.7762, time 3247.21ms, mfu 15.72%
iter 1060: loss 4.5837, time 3127.88ms, mfu 15.87%
iter 1070: loss 4.4848, time 3005.99ms, mfu 16.07%
iter 1080: loss 4.5542, time 3254.68ms, mfu 16.12%
iter 1090: loss 4.7570, time 3031.57ms, mfu 16.28%
iter 1100: loss 4.9278, time 3220.20ms, mfu 16.33%
iter 1110: loss 4.8729, time 3238.02ms, mfu 16.36%
iter 1120: loss 4.3888, time 3020.19ms, mfu 16.51%
iter 1130: loss 4.3814, time 3252.77ms, mfu 16.51%
iter 1140: loss 4.5688, time 3243.95ms, mfu 16.52%
iter 1150: loss 4.4833, time 3034.38ms, mfu 16.64%
iter 1160: loss 4.5242, time 3022.80ms, mfu 16.76%
iter 1170: loss 4.3806, time 3345.52ms, mfu 16.70%
iter 1180: loss 4.6017, time 3267.69ms, mfu 16.67%
iter 1190: loss 4.4039, time 3015.54ms, mfu 16.79%
iter 1200: loss 4.4016, time 3335.79ms, mfu 16.73%
iter 1210: loss 4.4257, time 3314.27ms, mfu 16.68%
iter 1220: loss 4.4975, time 3252.96ms, mfu 16.67%
iter 1230: loss 4.3065, time 3317.64ms, mfu 16.63%
iter 1240: loss 4.4760, time 3293.68ms, mfu 16.60%
iter 1250: loss 4.5666, time 3247.07ms, mfu 16.60%
iter 1260: loss 4.5413, time 3238.57ms, mfu 16.60%
iter 1270: loss 4.2262, time 3371.52ms, mfu 16.54%
iter 1280: loss 4.3666, time 3269.67ms, mfu 16.53%
iter 1290: loss 4.2296, time 3248.14ms, mfu 16.54%
iter 1300: loss 4.2208, time 3045.66ms, mfu 16.65%
iter 1310: loss 4.2109, time 3281.84ms, mfu 16.63%
iter 1320: loss 4.2341, time 3190.27ms, mfu 16.65%
iter 1330: loss 4.3885, time 3032.89ms, mfu 16.76%
iter 1340: loss 4.3579, time 3084.62ms, mfu 16.83%
iter 1350: loss 4.1688, time 3153.23ms, mfu 16.86%
iter 1360: loss 4.3606, time 3237.65ms, mfu 16.84%
iter 1370: loss 4.2923, time 3046.75ms, mfu 16.92%
iter 1380: loss 4.2938, time 3179.46ms, mfu 16.92%
iter 1390: loss 4.2910, time 3213.08ms, mfu 16.91%
iter 1400: loss 4.3773, time 3291.54ms, mfu 16.85%
iter 1410: loss 4.2779, time 3240.52ms, mfu 16.83%
iter 1420: loss 4.1984, time 3019.64ms, mfu 16.93%
iter 1430: loss 4.3346, time 3246.36ms, mfu 16.90%
iter 1440: loss 4.1863, time 3270.88ms, mfu 16.85%
iter 1450: loss 4.3845, time 3255.05ms, mfu 16.82%
iter 1460: loss 4.2215, time 3218.68ms, mfu 16.81%
iter 1470: loss 4.3199, time 3481.58ms, mfu 16.68%
iter 1480: loss 4.0457, time 3286.00ms, mfu 16.65%
iter 1490: loss 4.1656, time 3265.70ms, mfu 16.64%
iter 1500: loss 4.2043, time 3291.19ms, mfu 16.61%
iter 1510: loss 4.2947, time 3263.47ms, mfu 16.60%
iter 1520: loss 4.0597, time 3125.12ms, mfu 16.66%
iter 1530: loss 4.0620, time 3030.88ms, mfu 16.77%
iter 1540: loss 4.3617, time 3236.30ms, mfu 16.76%
iter 1550: loss 4.2620, time 3027.50ms, mfu 16.86%
iter 1560: loss 3.9686, time 3246.04ms, mfu 16.84%
iter 1570: loss 4.0249, time 3333.55ms, mfu 16.77%
iter 1580: loss 4.1480, time 3354.80ms, mfu 16.70%
iter 1590: loss 4.1813, time 3236.01ms, mfu 16.69%
iter 1600: loss 4.1569, time 3038.41ms, mfu 16.80%
iter 1610: loss 4.1534, time 3257.24ms, mfu 16.77%
iter 1620: loss 4.2364, time 3437.70ms, mfu 16.66%
iter 1630: loss 4.0076, time 3237.55ms, mfu 16.66%
iter 1640: loss 4.1135, time 3257.91ms, mfu 16.64%
iter 1650: loss 4.2181, time 3302.40ms, mfu 16.61%
iter 1660: loss 3.8981, time 3374.78ms, mfu 16.55%
iter 1670: loss 4.3310, time 3256.04ms, mfu 16.55%
